Symbol,sys_name,SGD,WT_SSL,WT_HL,CBC_SSL,CBC1_HL,RRP6_SSL,RRP6-HL
NA,YGR089W ,YGR089W ,87.4,18.21,91,19.61,66.4,68.52
UTP22,YGR090W ,YGR090W ,1305.8,8.31,996.1,10.71,680.1,10.63
PRP31,YGR091W ,YGR091W ,203.1,13.28,254.1,26.75,176.7,9.23
DBF2,YGR092W ,YGR092W ,457.2,13.3,422.3,122.91,505.2,27.64
NA,YGR093W ,YGR093W ,619.8,10.62,685.9,27.4,592.2,14.39
VAS1,YGR094W ,YGR094W ,3762.4,27.05,2481.8,45.56,2284.5,29.94
RRP46,YGR095C ,YGR095C ,1318.8,17.22,1645,25.14,1320.3,26.23
NA,YGR096W ,YGR096W ,175.5,24.35,219,27.41,227.8,53.51
ASK10,YGR097W ,YGR097W ,666.9,53.55,612.3,34.69,668.3,85.44
ESP1,YGR098C ,YGR098C ,237.1,14.81,331.9,15.09,354.7,16.48
TEL2,YGR099W ,YGR099W ,77.6,30.47,158.7,25.38,136.4,20.9
MDR1,YGR100W ,YGR100W ,447.3,42.95,531.6,79.23,301,24.59
PCP1,YGR101W ,YGR101W ,1118.5,20.82,1354.2,21.54,862.4,46.51
NA,YGR102C ,YGR102C ,429.3,13.54,590.8,15.28,403.4,13.51
NOP7,YGR103W ,YGR103W ,258.8,15.03,250,26.43,221.3,12.91
SRB5,YGR104C ,YGR104C ,105.8,24.55,210,42.26,199.4,13.77
VMA21,YGR105W ,YGR105W ,1113,10.83,1209.5,23.75,899.2,16.86
NA,YGR106C ,YGR106C ,4523.7,18.65,3971.7,39.03,3040.9,32.71
NA,YGR107W ,YGR107W ,28.6,19.73,5.1,28.65,49,7.41
CLB1,YGR108W ,YGR108W ,227.5,6.27,293.1,8.74,206.9,10.08
CLB6,YGR109C ,YGR109C ,145.9,7.27,173.9,7.75,163.6,8.08
NA,YGR110W ,YGR110W ,107,N.A.,168.9,285.4,136.5,N.A.
NA,YGR111W ,YGR111W ,187.7,34.45,298.1,147.51,280.6,46.77
SHY1,YGR112W ,YGR112W ,372.5,642.15,383.1,N.A.,248.5,N.A.
DAM1,YGR113W ,YGR113W ,61.9,22.95,103.1,27.54,113,23.83
NA,YGR114C ,YGR114C ,68.3,13.33,40.5,8,23.4,N.A.
NA,YGR114C ,YGR114C ,202.8,23.49,191.1,64.22,176.3,173.31
NA,YGR115C ,YGR115C ,7.3,19.91,6.9,32.85,5,46.55
SPT6,YGR116W ,YGR116W ,113.4,20.63,104.5,73.27,128.6,22.03
NA,YGR117C ,YGR117C ,179.5,33.17,160.5,27.31,208.1,24.35
RPS23A,YGR118W ,YGR118W ,11574,24.28,10921.8,34.37,8799.2,19.94
NUP57,YGR119C ,YGR119C ,382,17.61,397.5,19.28,339.3,26.81
COG2,YGR120C ,YGR120C ,192.1,23.79,247.4,37.75,180.3,42.06
MEP1,YGR121C ,YGR121C ,370.2,N.A.,438.5,21.99,405,187.5
